99,65,51,74,49,55,74,63,58,76,81,65,57,65,62,54,65,70,64,54,60,62,65,53,64,50,57,57,48,65,60,49,67,57,48,71,70,63,58,75,60,68,54,78,54,69,68,64,41,77,54,66,66,75,63,67,52,71,78,85,60,72,73,72
70,68,74,71,63,78,75,70,63,56,70,60,78,61,61,65,53,59,56,63,54,54,62,63,71,51,66,48,59,59,53,56,64,50,65,46,53,67,49,69,61,54,59,57,50,72,46,62,62,72,58,49,66,61,59,61,76,64,67,64,76,73,57,86
56,66,57,58,56,76,69,68,49,48,80,79,62,73,68,57,54,71,70,54,81,84,56,64,70,59,69,67,62,61,56,51,61,64,72,83,64,58,69,58,66,62,77,65,67,65,84,53,65,40,78,69,68,63,61,71,72,74,74,50,82,86,63,80
51,68,76,65,75,54,66,58,82,61,52,55,63,62,58,64,53,55,59,55,54,61,71,63,60,56,55,57,57,69,68,46,55,68,64,68,56,53,72,60,49,63,62,73,61,69,62,49,56,62,65,56,80,65,69,75,68,64,62,59,68,84,65,71
70,79,55,78,83,67,60,70,53,68,64,55,70,66,65,68,67,61,54,59,49,55,66,44,71,62,70,51,48,57,42,63,61,52,84,48,55,46,67,65,57,60,64,41,58,56,65,70,59,75,50,61,89,54,41,52,62,69,60,80,58,56,66,86
82,89,71,80,71,55,68,70,57,58,45,69,65,61,75,59,57,65,58,45,80,54,53,54,67,50,60,67,83,40,70,40,62,70,67,70,59,71,50,66,54,58,60,57,71,68,70,73,66,63,67,66,69,64,55,83,72,71,55,72,78,75,61,60
72,76,66,51,58,62,60,54,57,58,68,56,46,54,68,49,60,55,77,64,66,65,63,70,67,67,56,60,72,72,63,57,58,55,66,60,66,62,46,51,62,64,63,64,68,54,48,73,45,42,73,62,66,72,66,69,43,71,86,69,53,62,72,79
72,51,59,78,63,58,78,68,50,68,51,85,65,61,51,57,73,56,61,62,52,65,51,56,64,53,76,68,41,51,64,72,45,67,60,41,52,62,60,60,64,65,72,65,59,66,55,64,68,64,69,45,79,83,70,80,60,77,85,65,78,74,60,52
68,47,52,53,66,75,76,70,65,51,42,72,53,64,50,63,58,64,77,49,55,63,44,58,49,62,57,61,64,72,52,63,68,61,55,59,56,58,49,48,61,58,51,70,41,64,57,72,49,54,47,64,56,54,64,79,51,80,76,65,66,79,63,82
63,63,65,56,58,65,64,55,44,55,49,48,53,48,52,57,59,65,60,51,64,63,49,49,62,46,68,57,69,58,75,60,59,75,49,71,70,73,46,63,50,65,64,40,48,59,39,62,58,48,78,71,43,73,87,68,60,71,63,46,66,78,85,52
76,52,59,39,55,58,60,72,54,40,73,64,52,73,66,69,58,46,63,51,68,85,58,66,63,50,52,30,50,61,47,56,50,55,65,63,56,53,59,63,62,57,59,72,63,47,73,61,61,59,57,65,59,41,70,64,63,66,66,89,69,66,80,68
65,49,56,67,54,55,49,62,64,53,56,58,66,60,58,44,48,57,60,65,54,48,56,48,52,53,60,71,65,79,57,50,78,68,51,53,43,83,71,55,90,55,56,63,57,58,65,53,45,91,65,51,60,69,73,76,86,79,75,79,84,80,61,72
62,52,42,56,63,67,55,46,44,48,62,54,65,57,55,55,50,44,55,50,65,60,57,55,56,71,61,48,79,58,66,45,49,70,73,75,76,74,53,41,54,61,68,52,69,60,65,74,61,66,52,55,62,61,65,75,52,64,92,80,53,70,71,72
58,60,70,53,49,55,70,61,44,69,74,87,64,49,49,74,45,66,71,62,66,73,73,64,55,45,69,64,51,88,60,79,64,69,62,54,59,60,68,56,69,59,46,66,61,54,54,62,65,60,58,64,65,53,59,64,59,55,85,49,81,72,69,56
83,61,63,71,52,66,56,51,50,65,82,62,74,66,64,73,46,57,59,65,63,63,70,51,55,54,64,59,64,64,59,42,58,54,57,60,67,71,54,53,46,63,59,82,75,61,68,64,63,53,72,60,69,52,75,53,57,61,72,75,69,62,73,78
72,65,67,58,54,62,52,79,65,68,57,54,79,64,61,66,55,50,57,60,62,53,64,69,60,52,65,59,49,58,59,59,60,77,53,55,45,76,48,57,63,49,44,56,49,61,61,62,52,60,63,59,61,61,46,81,57,57,75,52,78,84,64,64
59,60,57,55,70,48,73,56,69,88,78,64,44,51,77,83,53,50,57,59,61,56,59,78,53,70,59,65,44,64,55,57,66,60,67,44,65,85,61,67,75,65,55,62,61,78,59,65,77,63,69,55,63,50,65,73,63,78,74,71,76,64,80,78
65,59,75,50,58,63,72,49,54,48,67,58,64,56,67,72,51,71,65,68,56,62,43,51,56,68,49,62,57,72,58,78,45,65,47,43,71,47,51,53,53,61,50,97,70,57,66,56,87,88,62,64,70,53,54,60,58,66,61,64,42,70,65,88
53,51,52,69,66,67,78,70,56,62,84,58,54,56,63,58,83,58,65,63,68,58,60,80,66,55,89,73,58,70,66,46,56,41,53,69,62,75,64,60,59,59,64,51,69,61,58,77,69,74,47,76,67,69,67,57,68,65,78,74,75,85,82,65
62,55,64,69,54,52,63,71,49,69,47,44,65,62,57,74,42,66,69,59,59,57,54,73,48,72,51,78,52,65,64,58,74,54,56,67,67,48,63,53,56,60,66,73,65,84,74,64,79,59,72,51,51,71,66,74,65,55,70,50,59,82,74,52
